STCODE,FORMAT,TAX_ORDER,GENUS,SPECIES,SUBSPECIES,COMMONNAME,ABUNDANCE,DISTRIB,HABITAT
SA005,1,"Artiodactyla","Cervus","canadensis","roosevelti","Roosevelt Elk",C,L-H,"UB"
SA005,1,"Artiodactyla","Odocoileus","hemionus","columbianus","Black-Tailed Deer",C,L-H,"UB"
SA005,1,"Carnivora","Canis","latrans","","Coyote",C,L-H,"UB"
SA005,1,"Carnivora","Felis","concolor","","Cougar",C,L-H,"UB"
SA005,1,"Carnivora","Lutra","canadensis","","Otter",U,L-M,"RI"
SA005,1,"Carnivora","Lynx","rufus","","Bobcat",C,L-H,"UB"
SA005,1,"Carnivora","Martes","americana","","Marten",C,L-H,"SG/OG"
SA005,1,"Carnivora","Mustela","erminea","","Short-Tailed Weasel",C,L-H,"SG/OG"
SA005,1,"Carnivora","Mustela","frenata","","Long-Tailed Weasel",U,L-H,"SG/OG"
SA005,1,"Carnivora","Mustela","vison","","Mink",C,L-M,"RI"
SA005,1,"Carnivora","Procyon","lotor","","Raccoon",C,L-M,"RI"
SA005,1,"Carnivora","Spilogale","putorius","","Spotted Skunk",C,L-M,"OG"
SA005,1,"Carnivora","Ursus","americanus","","Black Bear",C,L-H,"UB"
SA005,1,"Carnivora","Vulpes","vulpes","cascadensis","Red Fox",U,L-H,"OP"
SA005,1,"Chiroptera","Eptesicus","fuscus","","Big Brown Bat",C,L-H,"SG/OG/FM"
SA005,1,"Chiroptera","Lasionycteris","noctivagans","","Silver-Haired Bat",C,L-H,"SG/OG/FM"
SA005,1,"Chiroptera","Lasiurus","cinereus","","Hoary Bat",U,L-H,"SG/OG/FM"
SA005,1,"Chiroptera","Myotis","californicus","","California Myotis",U,L-H,"SG/OG/FM"
SA005,1,"Chiroptera","Myotis","evotis","","Long-Eared Myotis",C,L-H,"SG/OG/FM"
SA005,1,"Chiroptera","Myotis","lucifugus","","Little Brown Myotis",C,L-H,"SG/OG/FM"
SA005,1,"Chiroptera","Myotis","volans","","Long-Legged Myotis",C,L-H,"SG/OG/FM"
SA005,1,"Chiroptera","Myotis","yumanensis","","Yuma Myotis",C,L,"SG/OG/FM"
SA005,1,"Chiroptera","Plecotus","townsendi","","Townsend Big-Eared Bat",U,L-H,"SG/OG/FM"
SA005,1,"Insectivora","Neurotrichus","gibbsi","","Shrew Mole",C,L-H,"RI"
SA005,1,"Insectivora","Scapanus","orarius","","Coast Mole",C,L-H,"RI"
SA005,1,"Insectivora","Sorex","bendirii","","Marsh Shrew",C,L-H,"RI"
SA005,1,"Insectivora","Sorex","obseurus","","Dusky Shrew",C,L-H,"UP"
SA005,1,"Insectivora","Sorex","palustris","","Northern Water Shrew",R,H,"RI"
SA005,1,"Insectivora","Sorex","trowbridgii","","Trowbridge Shrew",A,L-H,"UB"
SA005,1,"Insectivora","Sorex","vagrans","","Wandering Shrew",U,L-H,"OP"
SA005,1,"Insectivora","Sorex","yaquinae","","Yaquina Shrew",U,L-H,""
SA005,1,"Lagomorpha","Lepus","americanus","","Snowshoe Hare",C,L-H,"SG"
SA005,1,"Lagomorpha","Ochotona","princeps","","Pika",C,M-H,"TA"
SA005,1,"Rodentia","Alpodontia","rufa","","Mountain Beaver",C,L-M,"RI"
SA005,1,"Rodentia","Arborimus","albipes","","White-Footed Vole",R,L-M,"RI"
SA005,1,"Rodentia","Arborimus","longicandus","","Red-Tree Vole",C,L-M,"SG/OG"
SA005,1,"Rodentia","Castor","canadensis","","Beaver",C,L,"RI"
SA005,1,"Rodentia","Clethrionomys","californicus","","California Red-Backed Vole",C,L-H,"SG/OG"
SA005,1,"Rodentia","Erethizon","dorsatum","","Porcupine",C,L-H,"SG"
SA005,1,"Rodentia","Eutamias","amoenus","","Yellow-Pine Chipmunk",R,H,""
SA005,1,"Rodentia","Eutamias","townsendi","","Townsend Chipmunk",A,L-H,"UB"
SA005,1,"Rodentia","Glaucomys","sabrinus","","Northern Flying Squirrel",C,L-H,"SG/OG/TF"
SA005,1,"Rodentia","Microtus","longicaudus","","Long-Tailed Vole",U,L-M,"RI"
SA005,1,"Rodentia","Microtus","oregoni","","Oregon Vole",C,L-H,"OP"
SA005,1,"Rodentia","Microtus","richardsoni","","Ridhardson Vole",U,L-H,"RI"
SA005,1,"Rodentia","Neotoma","cinerea","","Bushy-Tailed Wood Rat",C,L-M,"TA"
SA005,1,"Rodentia","Peromyscus","maniculatus","","Deer Mouse",A,L-H,"UB"
SA005,1,"Rodentia","Phenacomys","intermedius","","Heather Vole",R,H,""
SA005,1,"Rodentia","Spermophilus","beecheyi","","California Ground Squirrel",C,L-M,"OP"
SA005,1,"Rodentia","Spermophilus","lateralis","","Golden Mantled Ground Squirrel",U,H,""
SA005,1,"Rodentia","Tamiasciurus","douglasi","","Chickaree",C,L-H,"SG/OG/TF"
SA005,1,"Rodentia","Thomomys","mazama","","Mazama Pocket Gopher",C,H,"RI"
SA005,1,"Rodentia","Zapus","trinotatus","","Pacific Jumping Mouse",C,L-M,"RI/OP"
